Bkg Branch,Delivery Branch,Card Rate,,,,
VADPE,BAHADURPALLY DELIVERY,7.19,,,,
GHAZIABAD,VAPI DELIVERY,5.37,,,,
GHAZIABAD,LALBAGH ROAD,10.65,,,,
GHAZIABAD,AMBATTUR-CHENNAI,11.26,,,,
GHAZIABAD,JUNAGADH-SABALPUR,7.19,,,,
GHAZIABAD,NAGPUR CITY,9.5,,,,
GHAZIABAD,TRICHUR,14.72,,,,
GHAZIABAD,MYSORE,11.26,,,,
ASLALI BRANCH,RANCHI,11.61,,,,
ASLALI BRANCH,LASUDIA,3.69,,,,
CHANGODAR,LUDHIANA,6.8,,,,
CHANGODAR,RUDRAPUR,6.53,,,,
CHANGODAR,CHAKAN CENTRAL CELL,5.92,,,,
CHANGODAR,DELHI HIGHWAY (JAIPUR) DLY,4.38,,,,
CHANGODAR,WAGHOLI,5.92,,,,
CHANGODAR,LASUDIA,3.89,,,,
CHANGODAR,LASUDIA,3.89,,,,
CHANGODAR,GHAZIABAD,5.72,,,,
CHANGODAR,CHAKAN CENTRAL CELL,5.72,,,,
CHANGODAR,PEENYA,7.26,,,,
CHANGODAR,SRIPERUMBUDUR,8.14,,,,
CHANGODAR,RANCHI,11.61,,,,
CHANGODAR,CHANDIGARH BRANCH,6.33,,,,
CHANGODAR,GURGAON BKG & DLY,5.17,,,,
CHANGODAR,KALAMASSERY,10.45,,,,
CHANGODAR,PEENYA,7.26,,,,
CHANGODAR,SRIPERUMBUDUR,8.14,,,,
CHANGODAR,LUDHIANA,6.6,,,,
CHANGODAR,JAIPUR,4.18,,,,
CHANGODAR,SECUNDERABAD,6.33,,,,
CHANGODAR,CHANDIGARH BRANCH,6.33,,,,
CHANGODAR,JALANDHAR FR,7.59,,,,
CHANGODAR,KANPUR,7.59,,,,
CHANGODAR,GHAZIABAD,5.72,,,,
CHANGODAR,SECUNDERABAD,6.33,,,,
CHANGODAR,DAPODA,3.91,,,,
CHANGODAR,KALAMASSERY,10.45,,,,
CHANGODAR,SRIPERUMBUDUR,8.14,,,,
CHANGODAR,CHANDIGARH BRANCH,6.33,,,,
CHANGODAR,KOLKATA(B T ROAD),9.41,,,,
CHANGODAR,GHAZIABAD,5.72,,,,
CHANGODAR,JAIPUR,4.18,,,,
CHANGODAR,PEENYA,7.26,,,,
CHANGODAR,KANPUR,7.59,,,,
CHANGODAR,DEHRADUN,6.99,,,,
CHANGODAR,COIMBATORE BRANCH,9.02,,,,
CHANGODAR,PEENYA,7.26,,,,
CHANGODAR,FARIDABAD,5.45,,,,
CHANGODAR,CHAKAN CENTRAL CELL,5.72,,,,
CHANGODAR,MAHAPE,5.01,,,,
CHANGODAR,GHAZIABAD,5.72,,,,
CHANGODAR,JAIPUR,4.18,,,,
CHANGODAR,LASUDIA,3.69,,,,
CHANGODAR,KANPUR,7.59,,,,
CHANGODAR,JALANDHAR FR,7.59,,,,
CHANGODAR,SECUNDERABAD,6.33,,,,
CHANGODAR,KALAMASSERY,10.45,,,,
CHANGODAR,LUDHIANA,6.6,,,,
CHANGODAR,PEENYA,7.26,,,,
CHANGODAR,SRIPERUMBUDUR,8.14,,,,
CHANGODAR,FARIDABAD,5.45,,,,
CHANGODAR,CHAKAN CENTRAL CELL,5.72,,,,
CHANGODAR,SRIPERUMBUDUR,8.14,,,,
CHANGODAR,KALAMASSERY,10.45,,,,
CHANGODAR,JAIPUR,4.18,,,,
CHANGODAR,SRIPERUMBUDUR,8.14,,,,
CHANGODAR,WAGHOLI,5.72,,,,
CHANGODAR,KANPUR,7.59,,,,
CHANGODAR,PEENYA,7.26,,,,
KUNDLI FR,BILASPUR,10.4,,,,
AMBERNATH,RAIPUR,8.2,,,,
AMBERNATH,MAHAD MIDC,3.91,,,,
AMBERNATH,DODDABALLAPUR - BNG,8.75,,,,
AMBERNATH,BOISAR,3.3,,,,
AMBERNATH,NELLORE,11.33,,,,
AMBERNATH,SARKHEJ,3.41,,,,
AMBERNATH,ROHA,3.91,,,,
AMBERNATH,CHANGODAR,3.52,,,,
AMBERNATH,GANDHIBAGH-NGP,7.13,,,,
AMBERNATH,SGTN-DELHI,7.59,,,,
AMBERNATH,PEENYA,8.14,,,,
AMBERNATH,DAPODA,3.3,,,,
AMBERNATH,BHAKTINAGAR,3.91,,,,
AMBERNATH,SILVASSA,2.42,,,,
AMBERNATH,GANDHINAGAR,3.83,,,,
AMBERNATH,ANKLESHWAR,2.37,,,,
AMBERNATH,NAGPUR (WADI),6.71,,,,
AMBERNATH,KALAMBOLI,3.03,,,,
AMBERNATH,LASUDIA,4.57,,,,
AMBERNATH,NIGDI,4.18,,,,
AMBERNATH,DAMAN DELIVERY UT,2.42,,,,
AMBERNATH,DAMAN DELIVERY UT,2.42,,,,
AMBERNATH,GAJUWAKA,11.06,,,,
AMBERNATH,BHARUCH,3.41,,,,
AMBERNATH,VAPI DELIVERY,2.24,,,,
AMBERNATH,DADRA NAGAR HAVELI,2.42,,,,
AMBERNATH,BAHADURPALLY DELIVERY,6.99,,,,
AMBERNATH,MAHAPE,3.91,,,,
AMBERNATH,MAHAD MIDC,3.91,,,,
AMBERNATH,MUMBAI,3.3,,,,
AMBERNATH,MEHSANA (N.G.),4.02,,,,
AMBERNATH,FARIDABAD,7.26,,,,
AMBERNATH,BOLLARAM,7.87,,,,
AMBERNATH,UMARGAON,2.26,,,,
AMBERNATH,ODHAV,3.63,,,,
AMBERNATH,VASAI EAST,3.03,,,,
AMBERNATH,SILVASSA,2.42,,,,
AMBERNATH,SURAT CITY,3.03,,,,
AMBERNATH,NARODA,3.74,,,,
AMBERNATH,PALGHAR,4.18,,,,
AMBERNATH,RAJAJINAGAR,8.42,,,,
AMBERNATH,DELHI EAST,7.59,,,,
AMBERNATH,GGNDLY,6.31,,,,
AMBERNATH,HALOL (GIDC),3.63,,,,
AMBERNATH,ROORKEE,9.3,,,,
AMBERNATH,K R PURAM,8.42,,,,
AMBERNATH,CHANDIGARH BRANCH,8.14,,,,
AMBERNATH,MORADABAD,8.75,,,,
AMBERNATH,NAROL,3.74,,,,
AMBERNATH,PARAWADA,11.06,,,,
AMBERNATH,UDAIPUR,5.01,,,,
AMBERNATH,VAPI DELIVERY,2.24,,,,
AMBERNATH,VAPI DELIVERY,2.24,,,,
AMBERNATH,DELHI (RAMA ROAD),7.59,,,,
AMBERNATH,LUDHIANA,9.02,,,,
AMBERNATH,BADDI (HIMACHAL PRADESH),8.14,,,,
AMBERNATH,RAJAJINAGAR,8.42,,,,
